Q. No.,Name / Link,"Likes
(L)",Difficulty
1340.0,Jump Game V,1184.0,Hard
2294.0,Partition Array Such That Maximum Difference Is K,1174.0,Medium
1873.0,Calculate Special Bonus,1173.0,Easy
470.0,Implement Rand10() Using Rand7(),1170.0,Medium
1897.0,Redistribute Characters to Make All Strings Equal,1161.0,Easy
919.0,Complete Binary Tree Inserter,1154.0,Medium
932.0,Beautiful Array,1152.0,Medium
2210.0,Count Hills and Valleys in an Array,1148.0,Easy
418.0,Sentence Screen Fitting,1140.0,Medium
1321.0,Restaurant Growth,1134.0,Medium
1846.0,Maximum Element After Decreasing and Rearranging,1134.0,Medium
1388.0,Pizza With 3n Slices,1133.0,Hard
2275.0,Largest Combination With Bitwise AND Greater Than Zero,1132.0,Medium
1851.0,Minimum Interval to Include Each Query,1131.0,Hard
425.0,Word Squares,1123.0,Hard
2799.0,Count Complete Subarrays in an Array,1122.0,Medium
468.0,Validate IP Address,1119.0,Medium
924.0,Minimize Malware Spread,1116.0,Hard
2211.0,Count Collisions on a Road,1097.0,Medium
1818.0,Minimum Absolute Sum Difference,1096.0,Medium
911.0,Online Election,1085.0,Medium
2260.0,Minimum Consecutive Cards to Pick Up,1082.0,Medium
428.0,Serialize and Deserialize N-ary Tree,1071.0,Hard
2706.0,Buy Two Chocolates,1064.0,Easy
1813.0,Sentence Similarity III,1063.0,Medium
2222.0,Number of Ways to Select Buildings,1057.0,Medium
2273.0,Find Resultant Array After Removing Anagrams,1053.0,Easy
1898.0,Maximum Number of Removable Characters,1049.0,Medium
1320.0,Minimum Distance to Type a Word Using Two Fingers,1045.0,Hard
955.0,Delete Columns to Make Sorted II,1038.0,Medium
996.0,Number of Squareful Arrays,1037.0,Hard
1865.0,Finding Pairs With a Certain Sum,1036.0,Medium
1882.0,Process Tasks Using Servers,1025.0,Medium
1385.0,Find the Distance Value Between Two Arrays,1020.0,Easy
913.0,Cat and Mouse,1009.0,Hard
971.0,Flip Binary Tree To Match Preorder Traversal,999.0,Medium
1386.0,Cinema Seat Allocation,974.0,Medium
1375.0,Number of Times Binary String Is Prefix-Aligned,968.0,Medium
1341.0,Movie Rating,963.0,Medium
420.0,Strong Password Checker,961.0,Hard
2259.0,Remove Digit From Number to Maximize Result,944.0,Easy
2266.0,Count Number of Texts,940.0,Medium
1899.0,Merge Triplets to Form Target Triplet,920.0,Medium
1393.0,Capital Gain/Loss,920.0,Medium
408.0,Valid Word Abbreviation,918.0,Easy
2704.0,To Be Or Not To Be,914.0,Easy
