Template,Variation Rank (Most asked first),Name / Link,Difficulty,"Likes
(L)"
Other,56.0,Find the Index of the First Occurrence in a String,Easy,7476.0
Other,57.0,Queue Reconstruction by Height,Medium,7236.0
Other,58.0,Permutation Sequence,Hard,7200.0
Other,59.0,Online Stock Span,Medium,7173.0
Other,60.0,Sort an Array,Medium,7162.0
Other,61.0,Find the Town Judge,Easy,6936.0
Other,62.0,Max Consecutive Ones,Easy,6753.0
Other,63.0,Most Stones Removed with Same Row or Column,Medium,6407.0
Other,64.0,Length of Last Word,Easy,6316.0
Other,65.0,LFU Cache,Hard,6285.0
Other,66.0,Predict the Winner,Medium,6149.0
Other,67.0,String Compression,Medium,6118.0
Other,68.0,Fruit Into Baskets,Medium,6092.0
Other,69.0,String to Integer (atoi),Medium,6067.0
Other,70.0,Ones and Zeroes,Medium,6057.0
Other,71.0,How Many Numbers Are Smaller Than the Current Number,Easy,5972.0
Other,72.0,Shortest Bridge,Medium,5758.0
Other,73.0,Sort Array By Parity,Easy,5665.0
Other,74.0,Arithmetic Slices,Medium,5620.0
Other,75.0,Restore IP Addresses,Medium,5615.0
Other,76.0,Flatten a Multilevel Doubly Linked List,Medium,5428.0
Other,77.0,Add Strings,Easy,5428.0
Other,78.0,Time Based Key-Value Store,Medium,5231.0
Other,79.0,Verifying an Alien Dictionary,Easy,5068.0
Other,80.0,Count and Say,Medium,5055.0
Other,81.0,Trapping Rain Water II,Hard,4985.0
Other,82.0,Assign Cookies,Easy,4919.0
Other,83.0,Remove Element,Easy,4908.0
Other,84.0,Flip String to Monotone Increasing,Medium,4579.0
Other,85.0,Text Justification,Hard,4498.0
Other,86.0,Diagonal Traverse,Medium,4300.0
Other,87.0,Number of Steps to Reduce a Number to Zero,Easy,4251.0
Other,88.0,N-Queens II,Hard,4249.0
Other,89.0,Time Needed to Inform All Employees,Medium,4247.0
Other,90.0,Find the Winner of the Circular Game,Medium,4082.0
Other,91.0,Concatenated Words,Hard,4059.0
Other,92.0,Hamming Distance,Easy,4019.0
Other,93.0,Matchsticks to Square,Medium,4011.0
Other,94.0,Satisfiability of Equality Equations,Medium,4004.0
Other,95.0,Maximum Number of Events That Can Be Attended,Medium,3970.0
Other,96.0,Non-decreasing Subsequences,Medium,3804.0
Other,97.0,Reveal Cards In Increasing Order,Medium,3682.0
Other,98.0,Add to Array-Form of Integer,Easy,3667.0
Other,99.0,Snakes and Ladders,Medium,3632.0
Other,100.0,Minimum Number of Taps to Open to Water a Garden,Hard,3615.0
Other,101.0,Scramble String,Hard,3609.0
Other,102.0,Serialize and Deserialize BST,Medium,3589.0
Other,103.0,Minimum Difficulty of a Job Schedule,Hard,3583.0
Other,104.0,Design Underground System,Medium,3582.0
Other,105.0,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,3580.0
Other,106.0,Word Subsets,Medium,3530.0
Other,107.0,Minimum Moves to Equal Array Elements II,Medium,3512.0
Other,108.0,Arithmetic Slices II - Subsequence,Hard,3493.0
Other,109.0,Third Maximum Number,Easy,3489.0
Other,110.0,Single-Threaded CPU,Medium,3470.0
Other,111.0,Bag of Tokens,Medium,3450.0
Other,112.0,Count Number of Teams,Medium,3444.0
Other,113.0,Largest Perimeter Triangle,Easy,3393.0
